Year,Standardised.mean.age.of.father,Under.201,X20.24,X25.29,X30.34,X35.39,X40.44,X45.49,X50.54,X55.59,X60.and.over1
2013,32.9,7.2,40.4,80.3,107.5,81.2,34.8,11.4,3.7,1.2,0.6
2012,32.7,8.3,44.9,84.1,111.6,83.5,35.8,11.9,3.9,1.2,0.6
2011,32.6,8.7,46.2,83.8,110.5,81.2,35,11.6,3.7,1.2,0.5
2010,32.5,9.4,48.6,84.6,111.3,80.3,34,11.4,3.6,1.1,0.5
2009,32.4,10,49.1,83.1,108.6,77.5,32.9,11.2,3.5,1.1,0.5
2008,32.3,10.1,48.5,83.9,110.9,77.4,32.4,11.1,3.4,1.1,0.5
2007,32.3,9.8,46.9,81.8,109.4,75.4,31.7,10.7,3.3,1,0.5
2006,32.2,10,46.4,80.4,106.3,72.4,30.3,10.2,3.2,1,0.6
2005,32.2,9.9,45.4,78.2,102.6,68.6,29.3,9.7,3,1,0.6
2004,32.1,9.8,46.2,79.1,102.2,67.3,28.5,9.4,2.8,1,0.6
2003,32,9.5,45.3,77.7,99.1,64.3,27.3,8.8,2.7,0.9,0.6
2002,31.9,9.4,43.8,75.8,94.6,60.8,25.3,8.1,2.5,0.9,0.6
2001,31.8,9.7,43.8,77,93.6,59.6,24.6,7.9,2.5,0.9,0.6
2000,31.7,10.1,44.6,79.9,94.6,60.3,24.1,7.8,2.5,0.9,0.5
1999,31.6,10.6,46.6,85.2,96.7,60.3,23.9,7.6,2.5,1,0.5
1998,31.5,10.2,48,88.6,98.9,60.5,23.6,7.6,2.5,1,0.6
1997,31.5,9.6,49,90.7,99.2,60,23.2,7.3,2.6,1,0.5
1996,31.4,9.3,49.9,93,100.5,58.6,22.4,7,2.6,1.1,0.6
1995,31.3,9,49.6,94.1,100.7,57.5,21.6,6.9,2.5,1.1,0.6
1994,31.3,9,51.7,98.3,103.3,57.8,21.2,6.9,2.6,1.1,0.6
1993,31.1,10,54.6,101.1,103.2,56.2,20.5,6.9,2.7,1.1,0.7
1992,30.9,10.8,58.8,106.2,102.6,54.9,20.5,6.8,2.7,1.1,0.6
1991,30.8,11.3,60.2,108.2,105.3,54.4,19.2,6.9,2.9,1.2,0.6
1990,30.7,11.7,61.4,111.1,106.9,53.8,19.1,7.1,3,1.1,0.6
1989,30.7,11.2,61.5,110.7,103.9,51.5,18.5,7.1,2.9,1.1,0.6
1988,30.5,11.6,63.9,114.7,104.4,50,18.3,7,2.9,1.1,0.5
1987,30.5,11,62.3,116,103.2,48.3,17.9,7.2,2.9,1.1,0.5
1986,30.4,10.9,61.8,115.3,100,45.2,17.6,7,2.7,1,0.4
1985,30.3,10.6,62.2,118.5,99.1,44.8,17.6,7.1,2.6,1,0.4
1984,30.3,10.1,61.6,118.3,96.3,43.4,17.3,6.8,2.5,0.9,0.4
1983,30.2,9.6,63.2,120.3,94.6,42.9,16.9,6.7,2.5,0.8,0.3
1982,30.1,9.6,65.7,120.8,92.6,42.4,16.6,6.4,2.3,0.7,0.4
1981,30,9.6,67.1,124.6,92.2,41.6,16.3,6.1,2.2,0.7,0.3
1980,29.8,10.4,72.3,128.7,95.3,42.6,16.7,6.1,2.1,0.7,0.4
1979,29.8,10.2,70.7,126.1,93.6,41.5,16.3,5.8,2,0.7,0.3
1978,29.7,9.8,67.7,119.9,86.7,38.1,15.2,5.4,1.9,0.6,0.3
1977,29.7,9.8,65.8,115.1,82.5,35.6,14.3,5.1,1.7,0.6,0.3
1976,29.6,10.8,70.2,117.9,82.5,36.3,14.5,5.3,1.7,0.6,0.3
1975,29.5,12,75.1,122.3,84.1,37.5,15.2,5.4,1.8,0.7,0.3
1974,29.4,12.9,82.1,130.6,87.9,40,16.2,5.7,1.8,0.6,0.3
1973,29.5,13.8,88.2,137.4,92.8,43.7,17.9,6.1,2.1,0.7,0.3
1972,29.6,14.6,97,146.2,100.5,49.2,20.3,6.7,2.3,0.7,0.3
1971,29.6,15,105.9,160.5,110.2,54.6,22.8,7.4,2.5,0.8,0.4
1970,29.7,14.8,105.7,162.1,113.4,56.9,23.8,7.6,2.5,0.9,0.3
1969,29.8,14.9,105.3,165.6,117.8,59.7,25.3,8.2,2.8,0.9,0.4
1968,29.9,14.7,106.9,172.7,122.4,63.1,26.9,9.1,2.9,0.9,0.4
1967,30,14.5,108.5,176.6,125.8,66,28.2,10.2,3.1,1,0.4
1966,30.1,13.7,112.7,184,129.8,69.1,28.9,10.7,3.3,1,0.4
1965,30.2,12.2,112.6,187.4,135.8,73.3,30.3,11.5,3.5,1.1,0.5
1964,30.3,10.9,112.8,190.9,140.3,75.1,31.6,11.6,3.7,1.1,0.5
